,Country,Region_x,Happiness Rank_x,Happiness Score_x,Standard Error,Economy (GDP per Capita)_x,Family_x,Health (Life Expectancy)_x,Freedom_x,Trust (Government Corruption)_x,Generosity_x,Dystopia Residual_x,Region_y,Happiness Rank_y,Happiness Score_y,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita)_y,Family_y,Health (Life Expectancy)_y,Freedom_y,Trust (Government Corruption)_y,Generosity_y,Dystopia Residual_y,_merge
0,Switzerland,Western Europe,1.0,7.587000000000001,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,Western Europe,2.0,7.5089999999999995,7.428,7.59,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,both
1,Iceland,Western Europe,2.0,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,Western Europe,3.0,7.501,7.332999999999999,7.669,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,both
2,Denmark,Western Europe,3.0,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,Western Europe,1.0,7.526,7.46,7.5920000000000005,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,both
3,Norway,Western Europe,4.0,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,Western Europe,4.0,7.497999999999999,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,both
4,Canada,North America,5.0,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,North America,6.0,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,both
5,Finland,Western Europe,6.0,7.406000000000001,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,Western Europe,5.0,7.412999999999999,7.351,7.475,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,both
6,Netherlands,Western Europe,7.0,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,Western Europe,7.0,7.3389999999999995,7.284,7.394,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,both
7,Sweden,Western Europe,8.0,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,Western Europe,10.0,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,both
8,New Zealand,Australia and New Zealand,9.0,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,Australia and New Zealand,8.0,7.334,7.263999999999999,7.404,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,both
9,Australia,Australia and New Zealand,10.0,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,Australia and New Zealand,9.0,7.313,7.2410000000000005,7.385,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,both
10,Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,Middle East and Northern Africa,11.0,7.267,7.199,7.335,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,both
11,Costa Rica,Latin America and Caribbean,12.0,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,Latin America and Caribbean,14.0,7.087000000000001,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,both
12,Austria,Western Europe,13.0,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,Western Europe,12.0,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,both
13,Mexico,Latin America and Caribbean,14.0,7.187,0.041760000000000005,1.02054,0.91451,0.8144399999999999,0.48181,0.21311999999999998,0.14074,3.6021400000000003,Latin America and Caribbean,21.0,6.778,6.68,6.876,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,both
14,United States,North America,15.0,7.119,0.03839,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,North America,13.0,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,both
